"date","Nyheter","Sociala medier"
2017-08-04,2079274,68956
2017-08-05,2425895,35931
2017-08-06,2841986,172699
2017-08-07,2820272,234211
2017-08-08,7026019,82594
2017-08-09,175134,331884
2017-08-10,14908014,600282
2017-08-11,2979871,259842
2017-08-12,3785600,1214824
2017-08-13,3704346,137324
2017-08-14,8319052,647844
2017-08-15,80445,123264
2017-08-16,7425734,96601
2017-08-17,8126070,132991
2017-08-18,429155,295684
2017-08-19,2929960,354492
2017-08-20,84928,58552
2017-08-21,487691,145186
2017-08-22,122417,219079
2017-08-23,2578599,132679
2017-08-24,4525554,60207
2017-08-25,27943924,672688
2017-08-26,0,549650
2017-08-27,72424,633976
2017-08-28,74209,312771
2017-08-29,5273041,436630
2017-08-30,8215214,2681764
2017-08-31,520485,256689
2017-09-01,3344249,50586
2017-09-02,144505,196426
2017-09-03,1377711,98617
2017-09-04,33799,88759
2017-09-05,3730929,17530
2017-09-06,142918,375097
2017-09-07,2384358,1400435
2017-09-08,1952759,121767
2017-09-09,67852,118691
2017-09-10,36053,109249
2017-09-11,3192942,843932
2017-09-12,7768384,364339
2017-09-13,1169243,309434
2017-09-14,2961951,713047
2017-09-15,28531,119655
2017-09-16,2863,165468
2017-09-17,523967,27769
2017-09-18,93553,396467
2017-09-19,130611,217225
2017-09-20,8910127,98204
2017-09-21,317317,548190
2017-09-22,6274009,704399
2017-09-23,8053282,857043
2017-09-24,2434598,575631
2017-09-25,7181,142919
2017-09-26,96324,65405
2017-09-27,813278,137080
2017-09-28,731022,50251
2017-09-29,2691217,381
