"","date","Nyheter","time","Sociala medier"
"1",2017-08-04,2079274,00:00:00,68956
"2",2017-08-05,2425895,00:00:00,35931
"3",2017-08-06,2841986,00:00:00,172699
"4",2017-08-07,2820272,00:00:00,234211
"5",2017-08-08,7026019,00:00:00,82594
"6",2017-08-09,175134,00:00:00,331884
"7",2017-08-10,14908014,00:00:00,600282
"8",2017-08-11,2979871,00:00:00,259842
"9",2017-08-12,3785600,00:00:00,1214824
"10",2017-08-13,3704346,00:00:00,137324
"11",2017-08-14,8319052,00:00:00,647844
"12",2017-08-15,80445,00:00:00,123264
"13",2017-08-16,7425734,00:00:00,96601
"14",2017-08-17,8126070,00:00:00,132991
"15",2017-08-18,429155,00:00:00,295684
"16",2017-08-19,2929960,00:00:00,354492
"17",2017-08-20,84928,00:00:00,58552
"18",2017-08-21,487691,00:00:00,145186
"19",2017-08-22,122417,00:00:00,219079
"20",2017-08-23,2578599,00:00:00,132679
"21",2017-08-24,4525554,00:00:00,60207
"22",2017-08-25,27943924,00:00:00,672688
"23",2017-08-26,0,00:00:00,549650
"24",2017-08-27,72424,00:00:00,633976
"25",2017-08-28,74209,00:00:00,312771
"26",2017-08-29,5273041,00:00:00,436630
"27",2017-08-30,8215214,00:00:00,2681764
"28",2017-08-31,520485,00:00:00,256689
"29",2017-09-01,3344249,00:00:00,50586
"30",2017-09-02,144505,00:00:00,196426
"31",2017-09-03,1377711,00:00:00,98617
"32",2017-09-04,33799,00:00:00,88759
"33",2017-09-05,3730929,00:00:00,17530
"34",2017-09-06,142918,00:00:00,375097
"35",2017-09-07,2384358,00:00:00,1400435
"36",2017-09-08,1952759,00:00:00,121767
"37",2017-09-09,67852,00:00:00,118691
"38",2017-09-10,36053,00:00:00,109249
"39",2017-09-11,3192942,00:00:00,843932
"40",2017-09-12,7768384,00:00:00,364339
"41",2017-09-13,1169243,00:00:00,309434
"42",2017-09-14,2961951,00:00:00,713047
"43",2017-09-15,28531,00:00:00,119655
"44",2017-09-16,2863,00:00:00,165468
"45",2017-09-17,523967,00:00:00,27769
"46",2017-09-18,93553,00:00:00,396467
"47",2017-09-19,130611,00:00:00,217225
"48",2017-09-20,8910127,00:00:00,98204
"49",2017-09-21,317317,00:00:00,548190
"50",2017-09-22,6274009,00:00:00,704399
"51",2017-09-23,8053282,00:00:00,857043
"52",2017-09-24,2434598,00:00:00,575631
"53",2017-09-25,7181,00:00:00,142919
"54",2017-09-26,96324,00:00:00,65405
"55",2017-09-27,813278,00:00:00,137080
"56",2017-09-28,731022,00:00:00,50251
"57",2017-09-29,2691217,00:00:00,381
